order_id,customer_id,order_date,ship_date,delivery_date,customer_name,customer_segment,customer_country,customer_city,customer_region,order_status,total_items,unique_products,subtotal,discount_amount,shipping_cost,tax_amount,total_order_value,profit,shipping_method,delivery_status,payment_method,payment_status,sales_channel,customer_acquisition_channel,campaign
ORD1000000,CUST101392,2025-10-28,2025-10-28,2025-10-28,thomas moore,consumer,united states,los angeles,north america,delivered,3,3,70.89,0.0,23.1,4.96,98.95,24.87,same-day,on time,debit card,paid,mobile app,organic search,
ORD1000001,CUST117918,2025-04-22,2025-04-23,2025-04-26,cassandra hays,consumer,united states,houston,north america,delivered,4,4,190.1,33.59,5.44,10.96,172.91,52.96,standard,on time,credit card,pending,mobile app,organic search,
ORD1000002,CUST111893,2025-08-01,2025-08-02,,steven torres,corporate,united states,houston,north america,shipped,6,6,278.21,39.29,0.0,16.72,255.64,71.17,standard,in transit,paypal,paid,marketplace,social media,
ORD1000003,CUST110447,2025-11-24,2025-11-26,2025-11-28,michelle franco,consumer,united states,houston,north america,delivered,3,2,96.5,0.0,6.17,6.76,109.43,46.55,standard,delayed,gift card,paid,website,email marketing,blackfriday25
ORD1000004,CUST102862,2025-01-15,2025-01-16,2025-01-18,taylor brown,small business,united states,new york,north america,delivered,4,4,50.65,0.0,5.84,3.55,60.04,14.76,standard,on time,debit card,paid,website,email marketing,loyalty_rewards
ORD1000005,CUST127772,2025-02-22,2025-02-24,2025-02-26,patrick coleman,consumer,united states,los angeles,north america,delivered,1,1,34.34,0.0,6.75,2.4,43.49,13.84,standard,on time,credit card,paid,marketplace,organic search,
ORD1000006,CUST119866,2024-02-20,2024-02-20,,deborah moore,consumer,canada,montreal,north america,shipped,2,2,100.06,16.98,25.81,10.8,119.69,28.13,same-day,in transit,credit card,paid,marketplace,organic search,
ORD1000007,CUST101219,2025-07-27,2025-07-27,2025-07-29,heather rodriguez,consumer,canada,montreal,north america,delivered,7,6,414.04,65.6,7.53,45.3,401.27,86.0,standard,on time,credit card,paid,website,organic search,
ORD1000008,CUST117472,2025-08-29,2025-08-29,2025-08-31,david vaughn,corporate,united states,houston,north america,delivered,4,3,339.14,0.0,15.55,23.74,378.43,154.73,express,delayed,debit card,paid,marketplace,social media,
ORD1000009,CUST129175,2025-01-02,2025-01-03,2025-01-05,faith jones,consumer,united states,los angeles,north america,delivered,8,7,147.84,0.0,12.88,10.35,171.07,68.29,express,on time,debit card,paid,website,organic search,
