customer_key,customer_id,customer_name,customer_segment
1,CUST100000,ryan gallagher,consumer
2,CUST100001,jon cole,consumer
3,CUST100002,rachel davis,consumer
4,CUST100004,april griffin,consumer
5,CUST100005,crystal landry,corporate
6,CUST100006,amanda johnson,consumer
7,CUST100007,teresa james,consumer
8,CUST100009,jeffrey simpson,consumer
9,CUST100010,david robinson,consumer
10,CUST100011,dylan smith,consumer
11,CUST100012,kristie may,consumer
12,CUST100013,willie heath,small business
13,CUST100014,gary griffith,corporate
14,CUST100015,taylor henderson,consumer
15,CUST100016,meagan turner,consumer
16,CUST100018,leah johnson,corporate
17,CUST100020,joshua warner,consumer
18,CUST100021,jade gonzales,consumer
19,CUST100022,paula meyer,consumer
20,CUST100024,michael bird,consumer
21,CUST100025,jennifer jackson,consumer
22,CUST100029,derrick kelley,consumer
23,CUST100032,kelly hoffman,corporate
24,CUST100033,anthony berg,corporate
25,CUST100034,christina wagner,consumer
26,CUST100035,mr. gregory ryan,consumer
27,CUST100036,lisa ellis,consumer
28,CUST100037,david thompson,consumer
29,CUST100038,shannon lindsey,corporate
30,CUST100039,rose scott,corporate
31,CUST100040,megan miller,corporate
32,CUST100041,adrian campos,corporate
33,CUST100042,brian weber,consumer
34,CUST100043,benjamin moore,consumer
35,CUST100044,carol nelson,consumer
36,CUST100046,alexander hughes,corporate
37,CUST100048,katrina clark,consumer
38,CUST100049,ruth smith,small business
39,CUST100052,connie cantrell,corporate
40,CUST100053,kellie walker,consumer
41,CUST100054,jennifer johnston,consumer
42,CUST100056,walter hutchinson,corporate
43,CUST100057,scott collins,consumer
44,CUST100058,natasha butler,consumer
45,CUST100061,carolyn parrish,consumer
46,CUST100062,michele hicks,consumer
47,CUST100063,gregory harris,corporate
48,CUST100064,jessica lee,consumer
49,CUST100065,maxwell phillips,consumer
50,CUST100067,garrett benitez,consumer
51,CUST100068,gina lewis,consumer
52,CUST100069,sara randolph,consumer
53,CUST100071,dr. david swanson,corporate
54,CUST100072,christopher bartlett,corporate
55,CUST100076,stacy taylor,corporate
56,CUST100078,sean french,consumer
57,CUST100080,jamie duncan,small business
58,CUST100081,brad adams,small business
59,CUST100082,kristy buckley,small business
60,CUST100083,donald buchanan,consumer
61,CUST100084,alexandria santiago,consumer
62,CUST100087,brian jackson,corporate
63,CUST100088,patrick garcia,corporate
64,CUST100090,elizabeth king,consumer
65,CUST100091,brett pearson,corporate
66,CUST100092,adam haas,consumer
67,CUST100093,kyle cole,consumer
68,CUST100094,arthur gentry,consumer
69,CUST100098,joshua parker,corporate
70,CUST100099,brad campbell,consumer
71,CUST100100,mrs. marissa schneider,consumer
72,CUST100101,jeanette parker,corporate
73,CUST100102,eugene boone,consumer
74,CUST100104,lauren carlson,consumer
75,CUST100105,alex sanchez,consumer
76,CUST100106,juan jones,consumer
77,CUST100107,mark carter,corporate
78,CUST100108,katherine huffman,consumer
79,CUST100111,victoria underwood,consumer
80,CUST100112,brian robertson,corporate
81,CUST100114,thomas johnson,small business
82,CUST100115,steven lara,small business
83,CUST100116,sara francis,consumer
84,CUST100119,austin richmond,consumer
85,CUST100120,kirsten weaver,corporate
86,CUST100121,jody foster,small business
87,CUST100123,jennifer duncan,consumer
88,CUST100126,james salazar,corporate
89,CUST100130,john walker md,consumer
90,CUST100131,susan hardin,consumer
91,CUST100132,matthew williams,small business
92,CUST100133,jorge rich,small business
93,CUST100134,ralph ware,corporate
94,CUST100135,michael sweeney,consumer
95,CUST100136,michael doyle,consumer
96,CUST100137,selena mosley,small business
97,CUST100138,laura thompson,consumer
98,CUST100139,daniel hudson,corporate
99,CUST100147,janet lang,consumer
100,CUST100148,christopher nguyen,corporate
101,CUST100149,terry chung,consumer
102,CUST100150,kyle russell,corporate
103,CUST100151,edward wright,small business
104,CUST100153,alex burton,consumer
105,CUST100155,joshua nelson,consumer
106,CUST100156,danielle sutton,consumer
107,CUST100157,rhonda beltran,consumer
108,CUST100158,katherine foley,corporate
109,CUST100159,laura reyes,consumer
110,CUST100160,brian aguirre,corporate
111,CUST100161,paul gardner,consumer
112,CUST100162,paige beltran,consumer
113,CUST100163,jonathan armstrong,corporate
114,CUST100164,jonathan kelly,consumer
115,CUST100165,april ramos,consumer
116,CUST100166,eric ross,consumer
117,CUST100167,melinda vasquez,consumer
118,CUST100169,donald george,small business
119,CUST100173,manuel schmidt,consumer
120,CUST100178,mariah soto,corporate
121,CUST100179,mark schultz,consumer
122,CUST100180,rachel mathis,consumer
123,CUST100181,robin jacobs,consumer
124,CUST100182,dennis erickson,corporate
125,CUST100183,kimberly hernandez,small business
126,CUST100184,kari mcdonald,corporate
127,CUST100185,jordan garner,small business
128,CUST100186,henry sandoval,consumer
129,CUST100189,christine clark,consumer
130,CUST100190,debra jones,corporate
131,CUST100192,nancy jackson,small business
132,CUST100194,leonard hall,corporate
133,CUST100195,carrie clarke,corporate
134,CUST100196,erin walker,consumer
135,CUST100199,jeffrey juarez,consumer
136,CUST100200,cheryl garrett,consumer
137,CUST100201,william wallace,consumer
138,CUST100202,monica obrien,consumer
139,CUST100203,joseph taylor,corporate
140,CUST100205,cynthia robbins,consumer
141,CUST100206,elizabeth rodriguez,consumer
142,CUST100208,anthony harper,corporate
143,CUST100209,claire johnson,corporate
144,CUST100210,robin maynard,consumer
145,CUST100211,grace massey,consumer
146,CUST100212,michael davis,corporate
147,CUST100214,david wilkins,corporate
148,CUST100216,erin watkins,consumer
149,CUST100217,wendy williams,corporate
150,CUST100218,shannon flores,consumer
151,CUST100219,kevin ellison,consumer
152,CUST100220,spencer blake,corporate
153,CUST100221,thomas smith,consumer
154,CUST100223,carlos ford,corporate
155,CUST100225,ryan williams,corporate
156,CUST100226,bruce davis,consumer
157,CUST100227,mark garner,consumer
158,CUST100228,sarah alvarado,corporate
159,CUST100230,dana brown,consumer
160,CUST100231,leslie bailey,corporate
161,CUST100232,kristina boyd,corporate
162,CUST100233,harry gutierrez,consumer
163,CUST100234,spencer coleman,small business
164,CUST100236,nicole king,consumer
165,CUST100237,brittany sellers,corporate
166,CUST100238,sarah brown,corporate
167,CUST100239,robert harrison,consumer
168,CUST100240,william williams,consumer
169,CUST100242,michael khan,small business
170,CUST100245,nicholas edwards,consumer
171,CUST100246,robert roman,small business
172,CUST100247,elizabeth coleman,small business
173,CUST100249,richard huber,small business
174,CUST100250,ashley delgado,small business
175,CUST100251,william ball,corporate
176,CUST100253,sandra carter,small business
177,CUST100254,jacob meyer,small business
178,CUST100255,gregory andrews,consumer
179,CUST100256,robert curtis,corporate
180,CUST100257,edward gomez,corporate
181,CUST100260,garrett jones,consumer
182,CUST100261,karen durham,consumer
183,CUST100262,tracy ochoa,corporate
184,CUST100263,tammy solis,corporate
185,CUST100264,joseph johnston,consumer
186,CUST100265,rachel warner phd,corporate
187,CUST100266,tommy schneider,consumer
188,CUST100267,john petty,small business
189,CUST100269,kristine knox,corporate
190,CUST100270,jason luna,consumer
191,CUST100273,kelsey miller,corporate
192,CUST100274,samuel day,corporate
193,CUST100276,ryan page,consumer
194,CUST100277,steven george,consumer
195,CUST100279,kimberly duffy,corporate
196,CUST100280,molly cervantes,consumer
197,CUST100283,rebecca richards,consumer
198,CUST100284,samuel ellis,small business
199,CUST100285,edwin vazquez,consumer
200,CUST100286,bryan turner,consumer
201,CUST100288,laura arnold,consumer
202,CUST100289,kimberly cardenas,corporate
203,CUST100290,jennifer soto,consumer
204,CUST100291,eric hunter,consumer
205,CUST100292,krista bray,consumer
206,CUST100294,kylie richardson,corporate
207,CUST100297,janet marshall,small business
208,CUST100298,jacqueline curry,small business
209,CUST100299,mr. jesus wilson,corporate
210,CUST100300,jason smith,consumer
211,CUST100305,dr. john mata,consumer
212,CUST100306,anna anderson,consumer
213,CUST100309,nathaniel flowers,small business
214,CUST100310,logan forbes,corporate
215,CUST100311,kimberly reed,consumer
216,CUST100314,derek ramirez,corporate
217,CUST100315,ricky hodge,consumer
218,CUST100316,megan miller,small business
219,CUST100318,susan wilson,corporate
220,CUST100321,stephen gay,consumer
221,CUST100323,cindy malone,consumer
222,CUST100324,john smith,consumer
223,CUST100325,mary frost dvm,consumer
224,CUST100326,joshua alexander,corporate
225,CUST100327,sarah perez,small business
226,CUST100329,cory hoffman,corporate
227,CUST100331,brittany gutierrez,consumer
228,CUST100332,michael adams,consumer
229,CUST100333,jacob ruiz,consumer
230,CUST100334,larry white,consumer
231,CUST100335,melissa nichols,corporate
232,CUST100336,gabriel vaughn,consumer
233,CUST100337,robin snow,consumer
234,CUST100339,charles scott,corporate
235,CUST100340,joshua warner,consumer
236,CUST100343,aaron smith,small business
237,CUST100344,luis miller,consumer
238,CUST100345,michael mercer,consumer
239,CUST100346,kyle stone,consumer
240,CUST100348,randy maldonado,corporate
241,CUST100349,billy hardy,consumer
242,CUST100350,evan adams,consumer
243,CUST100351,andre taylor,consumer
244,CUST100355,robert davidson,consumer
245,CUST100356,lisa harrell,corporate
246,CUST100357,michael oliver,consumer
247,CUST100358,kristy nichols,consumer
248,CUST100360,amy romero,consumer
249,CUST100362,danielle nelson,consumer
250,CUST100363,kara powell,consumer
251,CUST100364,james pena,corporate
252,CUST100365,kimberly anthony,consumer
253,CUST100366,melinda johnson,consumer
254,CUST100368,brenda koch,consumer
255,CUST100370,stephen moore,consumer
256,CUST100373,rebecca munoz,small business
257,CUST100374,tristan gillespie,corporate
258,CUST100375,jamie hoffman,consumer
259,CUST100376,julia maxwell,consumer
260,CUST100378,larry brown,corporate
261,CUST100379,andrew padilla,corporate
262,CUST100381,jordan kelly,consumer
263,CUST100382,william stout,consumer
264,CUST100383,rebekah weiss,consumer
265,CUST100385,heather moore,consumer
266,CUST100387,hannah sandoval,consumer
267,CUST100388,patricia brown md,consumer
268,CUST100389,edward cabrera,consumer
269,CUST100390,michael reid,consumer
270,CUST100391,amy nunez,consumer
271,CUST100393,mr. michael hester,consumer
272,CUST100394,steven reyes,corporate
273,CUST100396,george booker,corporate
274,CUST100397,rachel murray,consumer
275,CUST100398,johnathan mejia,consumer
276,CUST100400,laura mcintosh,consumer
277,CUST100401,brittany bennett,consumer
278,CUST100402,alexander jones,small business
279,CUST100405,samantha arroyo,corporate
280,CUST100406,james schultz,consumer
281,CUST100408,aaron lara,consumer
282,CUST100410,reginald walls,consumer
283,CUST100411,casey richards,corporate
284,CUST100413,misty graves,consumer
285,CUST100415,richard wilson,corporate
286,CUST100416,jasmine castro,consumer
287,CUST100418,adam moses,consumer
288,CUST100419,donald perry,consumer
289,CUST100421,joseph west,corporate
290,CUST100422,jennifer jackson,consumer
291,CUST100424,heather hernandez,consumer
292,CUST100425,sarah norman,consumer
293,CUST100426,monique rogers,consumer
294,CUST100427,david bailey,consumer
295,CUST100429,david gonzalez,corporate
296,CUST100430,kimberly gonzalez,consumer
297,CUST100432,jeanne gonzalez,corporate
298,CUST100433,angela hartman,consumer
299,CUST100434,paul reyes,small business
300,CUST100438,mrs. sara perez,corporate
301,CUST100439,hannah nichols,consumer
302,CUST100440,ronald clark,corporate
303,CUST100441,dylan patrick,small business
304,CUST100443,anthony poole,small business
305,CUST100444,robert frye,consumer
306,CUST100446,danielle clark,corporate
307,CUST100449,brandi moran,consumer
308,CUST100450,aaron martinez,corporate
309,CUST100451,phillip gray,consumer
310,CUST100453,tammy shaw,corporate
311,CUST100454,tracy mack,small business
312,CUST100455,dillon davis,consumer
313,CUST100456,beverly hansen,consumer
314,CUST100458,kimberly glass,consumer
315,CUST100459,anna gregory,consumer
316,CUST100460,jay alexander,consumer
317,CUST100461,linda lee,small business
318,CUST100462,kelly gonzalez,consumer
319,CUST100463,shawn jarvis,consumer
320,CUST100465,roy thompson,corporate
321,CUST100466,terry mitchell,corporate
322,CUST100468,jennifer kaiser,corporate
323,CUST100469,sarah lucas,small business
324,CUST100470,taylor ruiz,consumer
325,CUST100473,chase lawrence,consumer
326,CUST100474,diana grimes,corporate
327,CUST100475,patricia perry,corporate
328,CUST100478,juan walsh,corporate
329,CUST100479,kari walters,small business
330,CUST100480,jill porter,corporate
331,CUST100481,april martin,consumer
332,CUST100482,daniel kemp,corporate
333,CUST100483,brian stewart,consumer
334,CUST100485,lisa johnson,consumer
335,CUST100486,mark wilkins,corporate
336,CUST100487,wayne pierce,corporate
337,CUST100489,timothy adams,consumer
338,CUST100490,douglas barber,consumer
339,CUST100491,daniel hill,consumer
340,CUST100492,dr. eric russo,consumer
341,CUST100493,samantha jones,consumer
342,CUST100494,timothy villarreal,corporate
343,CUST100496,alyssa stewart,consumer
344,CUST100497,stacie williams,consumer
345,CUST100498,mary salas,consumer
346,CUST100501,derek gonzalez,corporate
347,CUST100502,victor rogers,small business
348,CUST100503,miranda robinson,consumer
349,CUST100506,phillip miller,corporate
350,CUST100507,amanda rice,consumer
351,CUST100510,christopher cohen,consumer
352,CUST100511,timothy simmons,consumer
353,CUST100515,benjamin fisher,corporate
354,CUST100516,regina crane,consumer
355,CUST100517,kristy pierce,consumer
356,CUST100520,ronnie lowe,consumer
357,CUST100522,deanna collins,consumer
358,CUST100524,crystal wallace,consumer
359,CUST100525,tammy horton,corporate
360,CUST100526,janet kim,consumer
361,CUST100527,heather glover,consumer
362,CUST100528,paul harmon,consumer
363,CUST100529,adrian morgan,corporate
364,CUST100530,rachel berg,consumer
365,CUST100532,maria anderson dds,corporate
366,CUST100535,kathy andrews,consumer
367,CUST100537,julia cline,corporate
368,CUST100538,cristian pineda,consumer
369,CUST100539,lisa soto,consumer
370,CUST100541,william manning,small business
371,CUST100542,april bush,small business
372,CUST100544,jacob spencer,corporate
373,CUST100546,lauren carter,corporate
374,CUST100547,desiree smith,corporate
375,CUST100548,brandon vasquez,corporate
376,CUST100550,wanda baker,corporate
377,CUST100551,david garcia,corporate
378,CUST100552,kayla anderson,consumer
379,CUST100554,antonio dennis,corporate
380,CUST100555,andrea smith,small business
381,CUST100558,juan king,consumer
382,CUST100559,daniel eaton,corporate
383,CUST100561,jason smith,consumer
384,CUST100563,christopher bullock,consumer
385,CUST100564,robert humphrey,small business
386,CUST100565,roy hernandez,consumer
387,CUST100566,dustin cooper,consumer
388,CUST100568,barbara harris,corporate
389,CUST100570,colleen mitchell,corporate
390,CUST100571,jay wright,consumer
391,CUST100573,jesse sawyer,corporate
392,CUST100574,lisa lin,consumer
393,CUST100575,jeffery sanchez,consumer
394,CUST100577,ashley jones,consumer
395,CUST100578,stacey patel,small business
396,CUST100579,tara fischer,small business
397,CUST100580,jesus bell,consumer
398,CUST100582,christopher knight,consumer
399,CUST100585,logan young,consumer
400,CUST100586,carolyn chase,consumer
401,CUST100589,andrea lopez,consumer
402,CUST100592,sheila hodge,small business
403,CUST100593,lori wade,consumer
404,CUST100597,erin powell,consumer
405,CUST100598,anthony mcmahon,corporate
406,CUST100599,adriana davis,corporate
407,CUST100600,jacob zamora,consumer
408,CUST100601,darren collins,corporate
409,CUST100602,stephanie ryan,consumer
410,CUST100603,kimberly reynolds,corporate
411,CUST100606,daniel hines,corporate
412,CUST100607,daniel martin,corporate
413,CUST100611,kenneth massey,corporate
414,CUST100612,victoria smith,small business
415,CUST100613,john johnson,consumer
416,CUST100618,mr. benjamin brown,corporate
417,CUST100619,shannon smith,small business
418,CUST100621,dawn torres,consumer
419,CUST100622,dr. edward schultz,corporate
420,CUST100623,jeffrey ho,small business
421,CUST100625,laura franklin,corporate
422,CUST100626,erica bell,small business
423,CUST100630,danielle figueroa,corporate
424,CUST100631,jonathon hudson,consumer
425,CUST100632,sylvia pope,consumer
426,CUST100635,kevin williams,consumer
427,CUST100636,samantha kim,consumer
428,CUST100637,mary torres,small business
429,CUST100640,latoya booker,consumer
430,CUST100642,shawn brown,consumer
431,CUST100643,katrina huerta,consumer
432,CUST100644,barbara baker dvm,consumer
433,CUST100645,christopher buck,small business
434,CUST100646,elizabeth spencer,consumer
435,CUST100647,jimmy arnold,consumer
436,CUST100648,luis friedman,consumer
437,CUST100649,rachel campbell,consumer
438,CUST100650,aaron zavala,small business
439,CUST100651,james pena,small business
440,CUST100653,jessica conley,corporate
441,CUST100656,samuel johnson,corporate
442,CUST100657,william cole,consumer
443,CUST100659,kyle white,consumer
444,CUST100660,kristie lindsey,consumer
445,CUST100662,jessica oneal,small business
446,CUST100664,julie romero,corporate
447,CUST100665,joshua simmons,consumer
448,CUST100666,natalie woods,consumer
449,CUST100668,courtney shepherd,consumer
450,CUST100669,jesse wiley,consumer
451,CUST100673,patrick turner,consumer
452,CUST100674,emily mullins,consumer
453,CUST100675,john griffin,consumer
454,CUST100678,madison cummings,consumer
455,CUST100679,kevin ford,consumer
456,CUST100680,mr. joshua robinson,consumer
457,CUST100681,curtis wheeler,consumer
458,CUST100682,richard whitehead,consumer
459,CUST100683,erin bender,consumer
460,CUST100684,isaiah larson,consumer
461,CUST100687,michael santiago,corporate
462,CUST100688,james winters,small business
463,CUST100689,lindsey deleon,consumer
464,CUST100692,jeffrey stokes,consumer
465,CUST100694,morgan benitez,consumer
466,CUST100697,terri clark,consumer
467,CUST100698,wayne martin,consumer
468,CUST100699,barbara richards,small business
469,CUST100700,casey cook,corporate
470,CUST100704,ann patel,consumer
471,CUST100705,brenda ward,consumer
472,CUST100706,steven bailey,consumer
473,CUST100707,john rice,consumer
474,CUST100713,wendy mills,corporate
475,CUST100715,gregory christensen,corporate
476,CUST100716,jacob dunn,consumer
477,CUST100717,austin young,small business
478,CUST100719,latoya brown,consumer
479,CUST100720,sabrina smith,consumer
480,CUST100721,richard perry,consumer
481,CUST100722,melissa guerrero,consumer
482,CUST100723,peggy richards,small business
483,CUST100724,jesse barker,small business
484,CUST100726,danielle fowler,corporate
485,CUST100727,charles smith,consumer
486,CUST100728,dwayne kennedy,corporate
487,CUST100729,austin hogan,consumer
488,CUST100730,mrs. julie morrison,consumer
489,CUST100731,joshua craig,consumer
490,CUST100732,maria gardner,consumer
491,CUST100733,thomas mills,consumer
492,CUST100734,nicholas kim,consumer
493,CUST100735,kevin cline,corporate
494,CUST100736,brendan rodriguez,consumer
495,CUST100737,ashley pena,consumer
496,CUST100738,jose pruitt,consumer
497,CUST100739,eric carr,consumer
498,CUST100742,jessica adams,corporate
499,CUST100743,erica maddox dds,consumer
500,CUST100744,debra thompson,consumer
501,CUST100746,jordan hopkins,consumer
502,CUST100747,mary gutierrez,small business
503,CUST100748,linda woods,consumer
504,CUST100753,zachary lutz,small business
505,CUST100754,jill blair,consumer
506,CUST100755,kimberly martinez,consumer
507,CUST100757,amy murray,small business
508,CUST100759,krystal rodriguez,corporate
509,CUST100760,lisa walsh,consumer
510,CUST100761,tanya west,consumer
511,CUST100762,kendra chapman,consumer
512,CUST100763,chelsea brown,small business
513,CUST100764,andrew peters,small business
514,CUST100765,richard martin,corporate
515,CUST100766,sean davis,small business
516,CUST100767,michael hart,corporate
517,CUST100768,chad lane,corporate
518,CUST100769,scott baker,consumer
519,CUST100770,alison carr,corporate
520,CUST100771,john kim,consumer
521,CUST100772,cathy saunders,consumer
522,CUST100773,mark colon,consumer
523,CUST100776,crystal dunlap,small business
524,CUST100777,sean morris,small business
525,CUST100778,david vazquez,corporate
526,CUST100779,kelly rodriguez,consumer
527,CUST100781,erik frank,corporate
528,CUST100782,whitney villanueva,consumer
529,CUST100783,melissa james,corporate
530,CUST100787,jose garcia,consumer
531,CUST100788,kenneth thompson,consumer
532,CUST100790,jessica spencer,consumer
533,CUST100791,paul garrett,corporate
534,CUST100795,ronald rodriguez,small business
535,CUST100797,terri barrera,consumer
536,CUST100798,matthew lozano,corporate
537,CUST100799,jordan christensen,corporate
538,CUST100801,alyssa aguilar,small business
539,CUST100802,ralph waller,corporate
540,CUST100803,ryan hall jr.,small business
541,CUST100805,stephanie miller,corporate
542,CUST100806,hannah williams,consumer
543,CUST100807,andrew parker,small business
544,CUST100808,joshua oliver,consumer
545,CUST100809,savannah jackson,corporate
546,CUST100810,sherri wright,consumer
547,CUST100811,virginia walters,consumer
548,CUST100812,emily riddle,consumer
549,CUST100813,erica turner,consumer
550,CUST100816,david harris,consumer
551,CUST100817,juan rocha,small business
552,CUST100819,christine johnson,corporate
553,CUST100820,richard haynes,consumer
554,CUST100822,rebecca griffin,consumer
555,CUST100823,benjamin hall,corporate
556,CUST100824,michelle hawkins,corporate
557,CUST100826,cheryl sanchez,consumer
558,CUST100827,larry kerr,consumer
559,CUST100828,gregory roberts,consumer
560,CUST100830,amanda jones,consumer
561,CUST100831,eric wright,consumer
562,CUST100834,allison spence,consumer
563,CUST100835,darren alvarez,small business
564,CUST100836,tiffany smith,consumer
565,CUST100837,alan taylor,consumer
566,CUST100838,angela ryan,consumer
567,CUST100840,joshua russo,corporate
568,CUST100845,spencer chandler,consumer
569,CUST100846,sandra koch,consumer
570,CUST100848,james nelson,consumer
571,CUST100849,cory mccarthy,consumer
572,CUST100850,susan johnson,consumer
573,CUST100851,cheryl meyer,corporate
574,CUST100853,mr. ryan oneal,consumer
575,CUST100855,kevin wells,corporate
576,CUST100856,robert knight,small business
577,CUST100858,shelley brown,consumer
578,CUST100861,jessica david,consumer
579,CUST100862,willie knight,consumer
580,CUST100863,marc rodriguez,consumer
581,CUST100867,pamela blackburn,consumer
582,CUST100868,jose beasley,consumer
583,CUST100869,destiny lawrence,consumer
584,CUST100870,sarah anderson,consumer
585,CUST100873,dawn mitchell,small business
586,CUST100874,bradley garrett,corporate
587,CUST100875,colleen singh,corporate
588,CUST100877,jodi stokes,corporate
589,CUST100878,matthew bass,consumer
