customer_id,customer_name,email,phone,customer_segment,customer_country,customer_city,customer_region,signup_date
CUST100000,Ryan Gallagher,ryan.gallagher470@gmail.com,001-546-898-1029,Consumer,United States,New York,North America,2023-11-01
CUST100001,Jon Cole,jon.cole268@outlook.com,573.766.0688x968,Consumer,Australia,Brisbane,Oceania,2023-12-09
CUST100002,Rachel Davis,rachel.davis401@gmail.com,(768)305-6568,Consumer,United States,Chicago,North America,2024-09-14
CUST100004,April Griffin,april.griffin438@outlook.com,782-771-9395x146,Consumer,United States,Chicago,North America,2023-09-17
CUST100005,Crystal Landry,crystal.landry525@outlook.com,420.825.4647x1658,Corporate,United States,Chicago,North America,2023-08-29
CUST100006,Amanda Johnson,amanda.johnson134@icloud.com,001-517-955-4745,Consumer,United Kingdom,Manchester,Europe,2024-03-02
CUST100007,Teresa James,teresa.james728@outlook.com,(535)260-4337x3156,Consumer,United States,Los Angeles,North America,2025-10-29
CUST100009,Jeffrey Simpson,jeffrey.simpson899@icloud.com,(556)469-4463,Consumer,United States,New York,North America,2025-07-23
CUST100010,David Robinson,david.robinson705@yahoo.com,686-302-5030x407,Consumer,United Kingdom,Manchester,Europe,2025-08-16
CUST100011,Dylan Smith,dylan.smith34@yahoo.com,531.735.9753x443,Consumer,United States,Houston,North America,2023-11-27
CUST100012,Kristie May,kristie.may79@icloud.com,,Consumer,United States,New York,North America,2023-08-23
CUST100013,Willie Heath,willie.heath858@yahoo.com,223-893-6858x354,Small Business,United Kingdom,Manchester,Europe,2024-01-30
CUST100014,Gary Griffith,gary.griffith258@gmail.com,001-689-606-0790,Corporate,United States,Los Angeles,North America,2026-05-09
CUST100015,Taylor Henderson,taylor.henderson861@yahoo.com,474-290-6082x7032,Consumer,United States,Houston,North America,2023-11-26
CUST100016,Meagan Turner,,7162543462,Consumer,United States,Chicago,North America,2023-05-06
CUST100018,Leah Johnson,leah.johnson679@yahoo.com,+1-464-697-3093,Corporate,United States,Los Angeles,North America,2025-10-05
