order_id,customer_id,order_date,ship_date,delivery_date,customer_name,customer_segment,customer_country,customer_city,customer_region,order_status,total_items,unique_products,product_categories,subtotal,discount_amount,shipping_cost,tax_amount,total_order_value,profit,shipping_method,delivery_status,payment_method,payment_status,sales_channel,customer_acquisition_channel,campaign
ORD1000000,CUST101392,2025-10-28,2025-10-28,2025-10-28,Thomas Moore,Consumer,United States,Los Angeles,North America,Delivered,3,3,Apparel,70.89,0.0,23.1,4.96,98.95,24.87,Same-Day,On Time,DEBIT CARD,Paid,Mobile App,Organic Search,
ORD1000001,CUST117918,2025-04-22,2025-04-23,2025-04-26,Cassandra Hays,Consumer,United States,Houston,North America,Delivered,4,4,Grocery|Home & Kitchen,190.1,33.59,5.44,10.96,172.91,52.96,Standard,On Time,Credit Card,Pending,Mobile App,Organic Search,
ORD1000002,CUST111893,2025-08-01,2025-08-02,,Steven Torres,Corporate,United States,Houston,North America,Shipped,6,6,Electronics|Beauty & Personal Care,278.21,39.29,0.0,16.72,255.64,71.17,Standard,In Transit,PayPal,Paid,Marketplace,Social Media,
ORD1000003,CUST110447,2025-11-24,2025-11-26,2025-11-28,  Michelle Franco  ,Consumer,United States,Houston,North America,Delivered,3,2,Grocery|Sports & Outdoors,96.5,0.0,6.17,6.76,109.43,46.55,Standard,Delayed,Gift Card,Paid,Website,Email Marketing,BLACKFRIDAY25
ORD1000004,CUST102862,2025-01-15,2025-01-16,2025-01-18,Taylor Brown,Small Business,United States,New York,North America,Delivered,4,4,Electronics|Home & Kitchen|Books,50.65,0.0,5.84,3.55,60.04,14.76,Standard,On Time,Debit Card,Paid,Website,Email Marketing,LOYALTY_REWARDS
ORD1000005,CUST127772,2025-02-22,2025-02-24,2025-02-26,Patrick Coleman,Consumer,United States,Los Angeles,North America,Delivered,1,1,Sports & Outdoors,34.34,0.0,6.75,2.4,43.49,13.84,Standard,On Time,Credit Card,Paid,Marketplace,Organic Search,
ORD1000006,CUST119866,2024-02-20,2024-02-20,,Deborah Moore,Consumer,Canada,Montreal,North America,Shipped,2,2,Apparel|Sports & Outdoors,100.06,16.98,25.81,10.8,119.69,28.13,Same-Day,In Transit,Credit Card,Paid,Marketplace,Organic Search,
ORD1000007,CUST101219,2025-07-27,2025-07-27,2025-07-29,Heather Rodriguez,Consumer,Canada,Montreal,North America,Delivered,7,6,Apparel|Books|Toys & Games,414.04,65.6,7.53,45.3,401.27,86.0,Standard,On Time,Credit Card,Paid,Website,Organic Search,
ORD1000008,CUST117472,2025-08-29,2025-08-29,2025-08-31,David Vaughn,Corporate,United States,Houston,North America,Delivered,4,3,Electronics|Grocery|Toys & Games,339.14,0.0,15.55,23.74,378.43,154.73,Express,Delayed,Debit Card,Paid,Marketplace,Social Media,
ORD1000009,CUST129175,2025-01-02,2025-01-03,2025-01-05,Faith Jones,Consumer,United States,Los Angeles,North America,Delivered,8,7,Apparel|Beauty & Personal Care,147.84,0.0,12.88,10.35,171.07,68.29,Express,On Time,Debit Card,Paid,Website,Organic Search,
ORD1000010,CUST127144,2025-03-10,2025-03-11,2025-03-16,Rachel Stokes,Corporate,Canada,Toronto,North America,Delivered,3,3,Apparel,93.13,25.41,5.08,8.8,81.6,1.82,Standard,On Time,Gift Card,Paid,Marketplace,Email Marketing,
ORD1000011,CUST125650,2024-04-15,2024-04-15,2024-04-19,Christopher Logan,Consumer,USA,Los Angeles,North America,Delivered,1,1,Toys & Games,11.49,0.0,5.62,0.8,17.91,5.5,Standard,On Time,Credit Card,Paid,Mobile App,Email Marketing,SUMMER_SALE24
ORD1000012,CUST121740,2024-04-14,2024-04-14,2024-04-17,Nathaniel Fields,Corporate,United States,Chicago,North America,Returned,3,3,Apparel|Electronics,108.54,5.93,6.38,7.18,116.17,44.02,Standard,Returned,Debit Card,Refunded,Marketplace,Organic Search,
ORD1000013,CUST123028,2024-10-10,2024-10-11,,Rhonda Gill DDS,Consumer,United States,Houston,North America,Shipped,3,3,Beauty & Personal Care|Home & Kitchen,92.26,0.0,6.58,6.46,105.3,43.12,Standard,In Transit,Credit Card,Paid,Mobile App,Paid Ads,
ORD1000014,CUST124757,2024-05-17,2024-05-19,2024-05-25,Tammy Ward,Corporate,Canada,Montreal,North America,Delivered,1,1,Apparel,55.14,0.0,3.71,7.17,66.02,26.76,Economy,On Time,PayPal,Paid,Mobile App,Social Media,
ORD1000015,CUST122298,2025-11-18,,,Sheila Ortega,Corporate,United States,New York,North America,Processing,5,3,Toys & Games|Apparel,143.06,12.22,0.0,9.16,140.0,30.87,Express,Not Shipped,Debit Card,Pending,Website,Organic Search,
ORD1000016,CUST119654,2025-10-28,2025-10-29,2025-10-30,Tammy Beard,Consumer,United Kingdom,Manchester,Europe,Delivered,4,2,Books,128.94,0.0,0.0,25.79,154.73,57.64,Express,On Time,PayPal,Paid,Marketplace,Organic Search,
ORD1000017,CUST123401,2026-05-30,2026-05-31,2026-06-06,Jennifer Martinez,Consumer,United States,New York,North America,Delivered,1,1,Toys & Games|Electronics,68.31,0.0,4.59,4.78,77.68,33.38,Economy,On Time,Debit Card,Paid,Website,Paid Ads,
ORD1000018,CUST108743,2026-05-22,2026-05-24,2026-05-28,Robert Jacobson,Corporate,United States,Chicago,North America,Returned,2,2,Electronics,106.06,0.0,7.59,7.42,121.07,45.49,Standard,Returned,Gift Card,Refunded,Website,Direct,
